symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2026-03-02 10:56:00+00:00,260.83,260.85,260.81,260.85,4945.0,36.0,260.817564
AAPL,2026-03-02 10:57:00+00:00,260.76,260.85,260.76,260.85,1373.0,35.0,260.811099
AAPL,2026-03-02 10:58:00+00:00,260.85,260.91,260.85,260.91,432.0,17.0,260.879057
AAPL,2026-03-02 10:59:00+00:00,260.94,261.0,260.94,261.0,1889.0,36.0,260.995556
AAPL,2026-03-02 11:01:00+00:00,261.21,261.21,261.21,261.21,263.0,14.0,261.21
AAPL,2026-03-02 11:03:00+00:00,261.2,261.2,261.2,261.2,206.0,9.0,261.2
AAPL,2026-03-02 11:04:00+00:00,261.3,261.35,261.3,261.3,2568.0,69.0,261.328149
AAPL,2026-03-02 11:16:00+00:00,261.02,261.02,261.02,261.02,325.0,18.0,261.02
AAPL,2026-03-02 11:19:00+00:00,261.09,261.29,261.09,261.29,364.0,16.0,261.205966
AAPL,2026-03-02 11:25:00+00:00,261.59,261.59,261.59,261.59,951.0,61.0,261.59
AAPL,2026-03-02 11:26:00+00:00,261.57,261.57,261.57,261.57,189.0,6.0,261.57
AAPL,2026-03-02 11:27:00+00:00,261.53,261.53,261.53,261.53,560.0,4.0,261.53
AAPL,2026-03-02 11:31:00+00:00,261.6,261.62,261.6,261.62,2022.0,49.0,261.607576
AAPL,2026-03-02 11:32:00+00:00,261.66,261.66,261.66,261.66,509.0,18.0,261.66
AAPL,2026-03-02 11:33:00+00:00,261.75,261.75,261.75,261.75,666.0,18.0,261.75
AAPL,2026-03-02 11:37:00+00:00,261.75,261.75,261.75,261.75,1950.0,24.0,261.75
AAPL,2026-03-02 11:38:00+00:00,261.78,261.78,261.55,261.75,1632.0,32.0,261.679762
AAPL,2026-03-02 11:40:00+00:00,261.77,261.77,261.77,261.77,604.0,22.0,261.77
AAPL,2026-03-02 11:42:00+00:00,261.69,261.74,261.55,261.55,1618.0,48.0,261.625698
AAPL,2026-03-02 11:44:00+00:00,261.7,261.84,261.7,261.84,2250.0,33.0,261.794337
AAPL,2026-03-02 11:45:00+00:00,261.88,262.25,261.88,262.25,3842.0,101.0,262.086537
AAPL,2026-03-02 11:46:00+00:00,262.2,262.49,262.2,262.49,2366.0,48.0,262.294816
AAPL,2026-03-02 11:47:00+00:00,262.02,262.02,262.02,262.02,409.0,11.0,262.02
AAPL,2026-03-02 11:48:00+00:00,262.02,262.02,262.0,262.0,416.0,10.0,262.010862
AAPL,2026-03-02 11:51:00+00:00,261.98,261.98,261.98,261.98,959.0,36.0,261.98
AAPL,2026-03-02 11:54:00+00:00,261.6,261.6,261.6,261.6,666.0,15.0,261.6
AAPL,2026-03-02 11:55:00+00:00,261.55,261.55,261.48,261.48,662.0,16.0,261.512094
AAPL,2026-03-02 11:58:00+00:00,261.58,261.7,261.58,261.7,429.0,16.0,261.621522
AAPL,2026-03-02 12:00:00+00:00,261.84,261.9,261.38,261.4,2493.0,107.0,261.545352
AAPL,2026-03-02 12:01:00+00:00,261.78,262.0,261.78,261.91,3381.0,45.0,261.906761
AAPL,2026-03-02 12:02:00+00:00,261.56,261.56,261.56,261.56,573.0,29.0,261.56
AAPL,2026-03-02 12:04:00+00:00,261.7,261.7,261.7,261.7,665.0,28.0,261.7
AAPL,2026-03-02 12:05:00+00:00,261.78,261.8,261.78,261.8,907.0,23.0,261.786584
AAPL,2026-03-02 12:06:00+00:00,261.82,261.82,261.69,261.69,1029.0,31.0,261.708571
AAPL,2026-03-02 12:08:00+00:00,261.53,261.53,261.45,261.5,1602.0,40.0,261.497419
AAPL,2026-03-02 12:09:00+00:00,261.54,261.54,261.5,261.5,1246.0,23.0,261.508494
AAPL,2026-03-02 12:10:00+00:00,261.5,261.61,261.5,261.61,924.0,21.0,261.522
AAPL,2026-03-02 12:11:00+00:00,261.42,261.42,261.42,261.42,350.0,13.0,261.42
AAPL,2026-03-02 12:14:00+00:00,261.3,261.3,261.3,261.3,402.0,21.0,261.3
AAPL,2026-03-02 12:15:00+00:00,261.3,261.44,261.3,261.44,765.0,16.0,261.3819
AAPL,2026-03-02 12:16:00+00:00,261.5,261.5,261.5,261.5,1279.0,29.0,261.5
AAPL,2026-03-02 12:17:00+00:00,261.62,261.62,261.6,261.6,1139.0,21.0,261.604069
AAPL,2026-03-02 12:18:00+00:00,261.6,261.75,261.6,261.75,1370.0,36.0,261.669787
AAPL,2026-03-02 12:19:00+00:00,261.73,261.75,261.6,261.65,1870.0,25.0,261.654976
AAPL,2026-03-02 12:20:00+00:00,261.51,261.51,261.51,261.51,257.0,12.0,261.51
AAPL,2026-03-02 12:21:00+00:00,261.54,261.54,261.5,261.5,4695.0,29.0,261.505053
AAPL,2026-03-02 12:22:00+00:00,261.33,261.33,261.33,261.33,306.0,17.0,261.33
AAPL,2026-03-02 12:23:00+00:00,261.53,261.55,261.47,261.55,1384.0,54.0,261.519071
AAPL,2026-03-02 12:24:00+00:00,261.48,261.48,261.48,261.48,671.0,13.0,261.48
AAPL,2026-03-02 12:25:00+00:00,261.5,261.52,261.5,261.52,1634.0,30.0,261.515122
AAPL,2026-03-02 12:26:00+00:00,261.74,261.74,261.74,261.74,935.0,44.0,261.74
AAPL,2026-03-02 12:28:00+00:00,261.59,261.59,261.59,261.59,806.0,34.0,261.59
AAPL,2026-03-02 12:29:00+00:00,261.5,261.5,261.5,261.5,1554.0,36.0,261.5
AAPL,2026-03-02 12:30:00+00:00,261.5,261.5,261.5,261.5,598.0,18.0,261.5
AAPL,2026-03-02 12:31:00+00:00,261.5,261.55,261.5,261.55,1432.0,36.0,261.525
AAPL,2026-03-02 12:32:00+00:00,261.63,261.66,261.63,261.66,818.0,34.0,261.639975
AAPL,2026-03-02 12:33:00+00:00,261.56,261.56,261.56,261.56,530.0,10.0,261.56
AAPL,2026-03-02 12:34:00+00:00,261.63,261.63,261.63,261.63,728.0,33.0,261.63
AAPL,2026-03-02 12:35:00+00:00,261.55,261.55,261.55,261.55,301.0,14.0,261.55
AAPL,2026-03-02 12:36:00+00:00,261.55,261.55,261.55,261.55,608.0,34.0,261.55
AAPL,2026-03-02 12:38:00+00:00,261.5,261.54,261.5,261.54,2080.0,43.0,261.512926
AAPL,2026-03-02 12:39:00+00:00,261.5,261.51,261.5,261.5,731.0,26.0,261.502268
AAPL,2026-03-02 12:40:00+00:00,261.52,261.65,261.5,261.65,845.0,32.0,261.557591
AAPL,2026-03-02 12:41:00+00:00,261.58,261.58,261.58,261.58,492.0,26.0,261.58
AAPL,2026-03-02 12:42:00+00:00,261.52,261.58,261.5,261.5,2852.0,64.0,261.523631
AAPL,2026-03-02 12:43:00+00:00,261.54,261.54,261.5,261.52,1244.0,27.0,261.516556
AAPL,2026-03-02 12:44:00+00:00,261.5,261.5,261.5,261.5,3338.0,68.0,261.5
AAPL,2026-03-02 12:45:00+00:00,261.6,261.63,261.6,261.63,1496.0,57.0,261.608174
AAPL,2026-03-02 12:46:00+00:00,261.75,261.8,261.75,261.8,1476.0,45.0,261.78704
AAPL,2026-03-02 12:47:00+00:00,261.75,261.75,261.6,261.7,11342.0,80.0,261.621896
AAPL,2026-03-02 12:49:00+00:00,261.6,261.6,261.6,261.6,306.0,14.0,261.6
AAPL,2026-03-02 12:50:00+00:00,261.6,261.6,261.6,261.6,1003.0,33.0,261.6
AAPL,2026-03-02 12:51:00+00:00,261.6,261.6,261.6,261.6,1748.0,40.0,261.6
AAPL,2026-03-02 12:52:00+00:00,261.6,261.6,261.6,261.6,2177.0,37.0,261.6
AAPL,2026-03-02 12:53:00+00:00,261.6,261.6,261.6,261.6,1370.0,34.0,261.6
AAPL,2026-03-02 12:54:00+00:00,261.61,261.61,261.6,261.6,862.0,30.0,261.603333
AAPL,2026-03-02 12:55:00+00:00,261.3,261.3,261.15,261.15,2373.0,105.0,261.247895
AAPL,2026-03-02 13:00:00+00:00,261.61,264.18,260.5,261.5,72092.0,2922.0,262.71018
AAPL,2026-03-02 13:01:00+00:00,261.62,261.62,259.8,261.45,16991.0,864.0,261.189046
AAPL,2026-03-02 13:02:00+00:00,262.05,262.11,259.32,261.51,116103.0,6224.0,260.405398
AAPL,2026-03-02 13:03:00+00:00,261.4,261.41,261.31,261.31,3133.0,29.0,261.377057
AAPL,2026-03-02 13:04:00+00:00,261.2214,261.2214,261.2214,261.2214,1458.0,78.0,261.2214
AAPL,2026-03-02 13:05:00+00:00,261.3,261.3,261.3,261.3,4260.0,190.0,261.3
AAPL,2026-03-02 13:06:00+00:00,261.2,261.38,261.2,261.38,729.0,40.0,261.270039
AAPL,2026-03-02 13:07:00+00:00,261.28,261.28,261.28,261.28,730.0,26.0,261.28
AAPL,2026-03-02 13:08:00+00:00,261.2021,261.3,261.2,261.3,924.0,48.0,261.252373
AAPL,2026-03-02 13:09:00+00:00,261.25,261.25,261.2,261.2,889.0,29.0,261.214029
AAPL,2026-03-02 13:10:00+00:00,261.4,261.5,261.4,261.4,4976.0,321.0,261.421978
AAPL,2026-03-02 13:11:00+00:00,260.29,261.4,260.29,261.4,2228.0,140.0,261.076385
AAPL,2026-03-02 13:12:00+00:00,260.01,261.54,259.84,259.84,1987.0,81.0,260.815845
AAPL,2026-03-02 13:13:00+00:00,261.45,261.45,261.45,261.45,1110.0,19.0,261.45
AAPL,2026-03-02 13:14:00+00:00,261.45,261.5811,261.26,261.26,1252.0,41.0,261.365423
AAPL,2026-03-02 13:16:00+00:00,261.4,261.4,261.4,261.4,673.0,50.0,261.4
AAPL,2026-03-02 13:17:00+00:00,261.488,261.488,261.488,261.488,2126.0,20.0,261.488
AAPL,2026-03-02 13:18:00+00:00,261.25,261.25,261.25,261.25,373.0,20.0,261.25
AAPL,2026-03-02 13:19:00+00:00,261.45,261.54,261.4096,261.54,1209.0,56.0,261.46792
AAPL,2026-03-02 13:20:00+00:00,261.53,261.53,261.53,261.53,338.0,28.0,261.53
AAPL,2026-03-02 13:21:00+00:00,261.64,261.98,261.64,261.95,5227.0,176.0,261.826519
AAPL,2026-03-02 13:22:00+00:00,262.0,262.0,261.71,261.9,876.0,28.0,261.864
AAPL,2026-03-02 13:23:00+00:00,261.9,261.93,261.9,261.9135,3382.0,78.0,261.912275
AAPL,2026-03-02 13:24:00+00:00,261.831,261.89,261.831,261.85,1410.0,25.0,261.8375
AAPL,2026-03-02 13:25:00+00:00,261.86,262.29,261.86,262.29,5104.0,201.0,262.064553
AAPL,2026-03-02 13:26:00+00:00,262.0,262.14,261.96,262.14,1745.0,60.0,262.026044
AAPL,2026-03-02 13:27:00+00:00,262.1547,262.1547,261.9,261.9,13393.0,102.0,261.946225
AAPL,2026-03-02 13:28:00+00:00,261.75,261.93,261.75,261.87,1540.0,56.0,261.852525
AAPL,2026-03-02 13:29:00+00:00,262.0,262.0,261.75,261.75,1414.0,24.0,261.951923
AAPL,2026-03-02 13:30:00+00:00,261.76,261.76,261.62,261.62,1837.0,89.0,261.7174
